"UNITN";"DVISI";"THTNM";"FYEAR";"TYPE";"ACTAT";"CATTY";"EMSTS";"COSTY";"KSTDSXN";"SATUAN";"MATERIAL";"MATERIALGROUP";"ACTCD";"KSTAR";"COSTL";"COS01";"COS02";"COS03";"COS04";"COS05";"COS06";"COS07";"COS08";"COS09";"COS10";"COS11";"COS12";"FIS01";"FIS02";"FIS03";"FIS04";"FIS05";"FIS06";"FIS07";"FIS08";"FIS09";"FIS10";"FIS11";"FIS12";"ACTL2";"INPLS";"PROTY";"CARRY";"EMJDS";"PROC2";"TRANM";"TRJNS";"UNITP";"UNIAR";"UNITPB";"UNIPT";"UNIRG";"COSPH";"NOTES"
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 1";"SUPPORT";"KMB";"Region 1";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 10";"SUPPORT";"SPA";"Region 7";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 2A";"SUPPORT";"KMB";"Region 1";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 3A";"SUPPORT";"WNL";"Region 2";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 4A";"SUPPORT";"WNA";"Region 2";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 4B";"SUPPORT";"WNA";"Region 2";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 5A";"SUPPORT";"BGB";"Region 3";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 5C";"SUPPORT";"ASMR";"Region 3";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 6A";"SUPPORT";"GKG";"Region 4A";"";""
"TRE";"";"0";"2020";"BIAYA";"UMUM";"";"";"ALO";"";"IDR";"60099999";"0";"OPP7";"610114";"2400000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"200000";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"";"";"";"";"";"";"";"";"";"Area 7A";"SUPPORT";"ASM";"Region 4B";"";""
